ticker,model_p,entry_price,shares,fee,won,pnl,ts
MKT-304,0.8762,0.88,17.05,0.126,true,1.92,2026-01-24T09:00:00Z
MKT-305,0.9196,0.924,16.23,0.0798,true,1.1537,2026-01-24T10:30:00Z
MKT-306,0.8686,0.873,17.18,0.1333,true,2.0486,2026-01-24T12:00:00Z
MKT-307,0.8045,0.809,18.54,0.2005,false,-15.1994,2026-01-24T13:30:00Z
MKT-308,0.8372,0.841,17.84,0.167,true,2.6696,2026-01-24T15:00:00Z
MKT-309,0.8807,0.885,16.95,0.1208,true,1.8284,2026-01-24T16:30:00Z
MKT-310,0.9058,0.91,16.48,0.0945,true,1.3887,2026-01-24T18:00:00Z
MKT-311,0.8211,0.825,18.18,0.1837,true,2.9978,2026-01-24T19:30:00Z
MKT-312,0.9237,0.928,16.16,0.0756,true,1.0879,2026-01-24T21:00:00Z
MKT-313,0.9339,0.938,15.99,0.0651,true,0.9263,2026-01-24T22:30:00Z
MKT-314,0.9586,0.963,15.58,0.0389,true,0.5376,2026-01-25T00:00:00Z
MKT-315,0.8425,0.846,17.73,0.1617,true,2.5687,2026-01-25T01:30:00Z
MKT-316,0.9385,0.942,15.92,0.0609,true,0.8625,2026-01-25T03:00:00Z
MKT-317,0.8586,0.863,17.38,0.1438,true,2.2373,2026-01-25T04:30:00Z
MKT-318,0.916,0.92,16.3,0.084,false,-15.08,2026-01-25T06:00:00Z
MKT-319,0.9007,0.905,16.57,0.0997,true,1.4744,2026-01-25T07:30:00Z
MKT-320,0.8052,0.809,18.54,0.2005,true,3.3406,2026-01-25T09:00:00Z
MKT-321,0.829,0.833,18.01,0.1754,true,2.8323,2026-01-25T10:30:00Z
MKT-322,0.8092,0.813,18.45,0.1963,true,3.2539,2026-01-25T12:00:00Z
MKT-323,0.9531,0.957,15.67,0.0451,true,0.6287,2026-01-25T13:30:00Z
MKT-324,0.9656,0.97,15.46,0.0315,true,0.4323,2026-01-25T15:00:00Z
MKT-325,0.9366,0.941,15.94,0.0619,true,0.8786,2026-01-25T16:30:00Z
MKT-326,0.9598,0.964,15.56,0.0378,true,0.5224,2026-01-25T18:00:00Z
MKT-327,0.8518,0.856,17.52,0.1512,true,2.3717,2026-01-25T19:30:00Z
MKT-328,0.9609,0.965,15.54,0.0367,true,0.5072,2026-01-25T21:00:00Z
MKT-329,0.8499,0.854,17.56,0.1533,false,-15.1495,2026-01-25T22:30:00Z
MKT-330,0.8195,0.823,18.23,0.1859,true,3.0408,2026-01-26T00:00:00Z
MKT-331,0.8568,0.861,17.42,0.1459,true,2.2755,2026-01-26T01:30:00Z
MKT-332,0.9578,0.962,15.59,0.0399,true,0.5525,2026-01-26T03:00:00Z
MKT-333,0.9258,0.93,16.13,0.0735,true,1.0556,2026-01-26T04:30:00Z
MKT-334,0.9421,0.946,15.86,0.0567,true,0.7997,2026-01-26T06:00:00Z
MKT-335,0.957,0.961,15.61,0.041,true,0.5678,2026-01-26T07:30:00Z
MKT-336,0.8705,0.875,17.14,0.1312,true,2.0113,2026-01-26T09:00:00Z
MKT-337,0.9325,0.937,16.01,0.0662,true,0.9424,2026-01-26T10:30:00Z
MKT-338,0.8458,0.85,17.65,0.1575,true,2.49,2026-01-26T12:00:00Z
MKT-339,0.9225,0.927,16.18,0.0766,true,1.1045,2026-01-26T13:30:00Z
MKT-340,0.9208,0.925,16.22,0.0788,true,1.1377,2026-01-26T15:00:00Z
MKT-341,0.8828,0.887,16.91,0.1186,true,1.7922,2026-01-26T16:30:00Z
MKT-342,0.9208,0.925,16.22,0.0788,true,1.1377,2026-01-26T18:00:00Z
MKT-343,0.8794,0.883,16.99,0.1229,true,1.8649,2026-01-26T19:30:00Z
MKT-344,0.9151,0.919,16.32,0.085,true,1.2369,2026-01-26T21:00:00Z
MKT-345,0.8403,0.844,17.77,0.1638,false,-15.1617,2026-01-26T22:30:00Z
MKT-346,0.9092,0.913,16.43,0.0914,true,1.338,2026-01-27T00:00:00Z
MKT-347,0.9483,0.952,15.76,0.0504,true,0.7061,2026-01-27T01:30:00Z
MKT-348,0.9525,0.956,15.69,0.0462,true,0.6442,2026-01-27T03:00:00Z
MKT-349,0.8567,0.861,17.42,0.1459,true,2.2755,2026-01-27T04:30:00Z
MKT-350,0.8122,0.816,18.38,0.1932,true,3.1887,2026-01-27T06:00:00Z
MKT-351,0.9625,0.966,15.53,0.0357,true,0.4923,2026-01-27T07:30:00Z
MKT-352,0.8967,0.901,16.65,0.104,true,1.5443,2026-01-27T09:00:00Z
MKT-353,0.8138,0.818,18.34,0.1911,true,3.1468,2026-01-27T10:30:00Z
MKT-354,0.8409,0.845,17.75,0.1627,true,2.5886,2026-01-27T12:00:00Z
MKT-355,0.826,0.83,18.07,0.1785,true,2.8934,2026-01-27T13:30:00Z
MKT-356,0.8995,0.904,16.59,0.1008,true,1.4918,2026-01-27T15:00:00Z
MKT-357,0.8391,0.843,17.79,0.1648,false,-15.1618,2026-01-27T16:30:00Z
MKT-358,0.8374,0.841,17.84,0.167,true,2.6696,2026-01-27T18:00:00Z
MKT-359,0.8713,0.875,17.14,0.1312,true,2.0113,2026-01-27T19:30:00Z
MKT-360,0.9027,0.907,16.54,0.0977,true,1.4405,2026-01-27T21:00:00Z
MKT-361,0.891,0.895,16.76,0.1103,true,1.6495,2026-01-27T22:30:00Z
MKT-362,0.8302,0.834,17.99,0.1743,true,2.812,2026-01-28T00:00:00Z
MKT-363,0.9403,0.944,15.89,0.0588,true,0.831,2026-01-28T01:30:00Z
MKT-364,0.8041,0.808,18.56,0.2016,false,-15.1981,2026-01-28T03:00:00Z
MKT-365,0.8339,0.838,17.9,0.1701,false,-15.1703,2026-01-28T04:30:00Z
MKT-366,0.8146,0.819,18.32,0.1901,true,3.1258,2026-01-28T06:00:00Z
MKT-367,0.8379,0.842,17.81,0.1659,true,2.6481,2026-01-28T07:30:00Z
MKT-368,0.9046,0.909,16.5,0.0955,true,1.406,2026-01-28T09:00:00Z
MKT-369,0.9294,0.933,16.08,0.0704,true,1.007,2026-01-28T10:30:00Z
MKT-370,0.8588,0.863,17.38,0.1438,true,2.2373,2026-01-28T12:00:00Z
MKT-371,0.8758,0.88,17.05,0.126,true,1.92,2026-01-28T13:30:00Z
MKT-372,0.942,0.946,15.86,0.0567,true,0.7997,2026-01-28T15:00:00Z
MKT-373,0.9385,0.943,15.91,0.0599,true,0.847,2026-01-28T16:30:00Z
MKT-374,0.8917,0.896,16.74,0.1092,true,1.6318,2026-01-28T18:00:00Z
MKT-375,0.9238,0.928,16.16,0.0756,true,1.0879,2026-01-28T19:30:00Z
MKT-376,0.8588,0.863,17.38,0.1438,true,2.2373,2026-01-28T21:00:00Z
MKT-377,0.8122,0.816,18.38,0.1932,true,3.1887,2026-01-28T22:30:00Z
MKT-378,0.925,0.929,16.15,0.0746,true,1.072,2026-01-29T00:00:00Z
MKT-379,0.9102,0.914,16.41,0.0903,true,1.321,2026-01-29T01:30:00Z
MKT-380,0.8364,0.84,17.86,0.168,true,2.6896,2026-01-29T03:00:00Z
MKT-381,0.9693,0.973,15.42,0.0284,true,0.3879,2026-01-29T04:30:00Z
MKT-382,0.8732,0.877,17.1,0.1291,true,1.9742,2026-01-29T06:00:00Z
MKT-383,0.837,0.841,17.84,0.167,true,2.6696,2026-01-29T07:30:00Z
MKT-384,0.9583,0.962,15.59,0.0399,true,0.5525,2026-01-29T09:00:00Z
MKT-385,0.9487,0.953,15.74,0.0494,false,-15.0496,2026-01-29T10:30:00Z
MKT-386,0.9041,0.908,16.52,0.0966,false,-15.0968,2026-01-29T12:00:00Z
MKT-387,0.8911,0.895,16.76,0.1103,true,1.6495,2026-01-29T13:30:00Z
MKT-388,0.9612,0.965,15.54,0.0367,true,0.5072,2026-01-29T15:00:00Z
MKT-389,0.9614,0.965,15.54,0.0367,true,0.5072,2026-01-29T16:30:00Z
MKT-390,0.9315,0.935,16.04,0.0682,true,0.9744,2026-01-29T18:00:00Z
MKT-391,0.9695,0.974,15.4,0.0273,true,0.3731,2026-01-29T19:30:00Z
MKT-392,0.8496,0.854,17.56,0.1533,false,-15.1495,2026-01-29T21:00:00Z
MKT-393,0.8314,0.835,17.96,0.1732,true,2.7902,2026-01-29T22:30:00Z
MKT-394,0.9228,0.927,16.18,0.0766,true,1.1045,2026-01-30T00:00:00Z
MKT-395,0.8883,0.892,16.82,0.1134,true,1.7032,2026-01-30T01:30:00Z
MKT-396,0.8069,0.811,18.5,0.1985,true,3.298,2026-01-30T03:00:00Z
MKT-397,0.8469,0.851,17.63,0.1565,true,2.4704,2026-01-30T04:30:00Z
MKT-398,0.8586,0.863,17.38,0.1438,true,2.2373,2026-01-30T06:00:00Z
MKT-399,0.927,0.931,16.11,0.0724,true,1.0392,2026-01-30T07:30:00Z
MKT-400,0.8176,0.822,18.25,0.1869,true,3.0616,2026-01-30T09:00:00Z
MKT-401,0.8699,0.874,17.16,0.1323,true,2.0299,2026-01-30T10:30:00Z
MKT-402,0.826,0.83,18.07,0.1785,true,2.8934,2026-01-30T12:00:00Z
MKT-403,0.9191,0.923,16.25,0.0808,false,-15.0796,2026-01-30T13:30:00Z
MKT-404,0.9665,0.971,15.45,0.0305,true,0.4176,2026-01-30T15:00:00Z
MKT-405,0.8633,0.867,17.3,0.1396,true,2.1613,2026-01-30T16:30:00Z
MKT-406,0.853,0.857,17.5,0.1501,true,2.3524,2026-01-30T18:00:00Z
MKT-407,0.8894,0.893,16.8,0.1124,true,1.6852,2026-01-30T19:30:00Z
MKT-408,0.8612,0.865,17.34,0.1417,true,2.1992,2026-01-30T21:00:00Z
MKT-409,0.8485,0.852,17.61,0.1554,true,2.4509,2026-01-30T22:30:00Z
MKT-410,0.9508,0.955,15.71,0.0473,true,0.6597,2026-01-31T00:00:00Z
MKT-411,0.8506,0.855,17.54,0.1522,true,2.3911,2026-01-31T01:30:00Z
MKT-412,0.9371,0.941,15.94,0.0619,true,0.8786,2026-01-31T03:00:00Z
MKT-413,0.8224,0.826,18.16,0.1827,true,2.9771,2026-01-31T04:30:00Z
MKT-414,0.8911,0.895,16.76,0.1103,true,1.6495,2026-01-31T06:00:00Z
MKT-415,0.8085,0.813,18.45,0.1963,true,3.2539,2026-01-31T07:30:00Z
MKT-416,0.9309,0.935,16.04,0.0682,true,0.9744,2026-01-31T09:00:00Z
MKT-417,0.9665,0.97,15.46,0.0315,true,0.4323,2026-01-31T10:30:00Z
MKT-418,0.9665,0.97,15.46,0.0315,true,0.4323,2026-01-31T12:00:00Z
MKT-419,0.8315,0.835,17.96,0.1732,true,2.7902,2026-01-31T13:30:00Z
MKT-420,0.8735,0.878,17.08,0.1281,true,1.9557,2026-01-31T15:00:00Z
MKT-421,0.8087,0.813,18.45,0.1963,true,3.2539,2026-01-31T16:30:00Z
MKT-422,0.8159,0.82,18.29,0.189,true,3.1032,2026-01-31T18:00:00Z
MKT-423,0.842,0.846,17.73,0.1617,true,2.5687,2026-01-31T19:30:00Z
MKT-424,0.8711,0.875,17.14,0.1312,true,2.0113,2026-01-31T21:00:00Z
MKT-425,0.8075,0.811,18.5,0.1985,true,3.298,2026-01-31T22:30:00Z
MKT-426,0.9067,0.911,16.47,0.0935,true,1.3723,2026-02-01T00:00:00Z
MKT-427,0.9551,0.959,15.64,0.043,true,0.5982,2026-02-01T01:30:00Z
MKT-428,0.8421,0.846,17.73,0.1617,true,2.5687,2026-02-01T03:00:00Z
MKT-429,0.9289,0.933,16.08,0.0704,true,1.007,2026-02-01T04:30:00Z
MKT-430,0.8865,0.891,16.84,0.1145,true,1.7211,2026-02-01T06:00:00Z
MKT-431,0.8938,0.898,16.7,0.1071,true,1.5963,2026-02-01T07:30:00Z
MKT-432,0.8287,0.833,18.01,0.1754,true,2.8323,2026-02-01T09:00:00Z
MKT-433,0.9093,0.913,16.43,0.0914,true,1.338,2026-02-01T10:30:00Z
MKT-434,0.954,0.958,15.66,0.0441,true,0.6136,2026-02-01T12:00:00Z
MKT-435,0.9131,0.917,16.36,0.0872,false,-15.0893,2026-02-01T13:30:00Z
MKT-436,0.9384,0.942,15.92,0.0609,true,0.8625,2026-02-01T15:00:00Z
MKT-437,0.8705,0.874,17.16,0.1323,true,2.0299,2026-02-01T16:30:00Z
MKT-438,0.829,0.833,18.01,0.1754,true,2.8323,2026-02-01T18:00:00Z
MKT-439,0.9162,0.92,16.3,0.084,false,-15.08,2026-02-01T19:30:00Z
MKT-440,0.893,0.897,16.72,0.1081,true,1.6141,2026-02-01T21:00:00Z
MKT-441,0.8598,0.864,17.36,0.1428,true,2.2182,2026-02-01T22:30:00Z
MKT-442,0.9365,0.941,15.94,0.0619,true,0.8786,2026-02-02T00:00:00Z
MKT-443,0.9631,0.967,15.51,0.0346,true,0.4772,2026-02-02T01:30:00Z
MKT-444,0.8535,0.858,17.48,0.1491,true,2.3331,2026-02-02T03:00:00Z
MKT-445,0.87,0.874,17.16,0.1323,true,2.0299,2026-02-02T04:30:00Z
MKT-446,0.9407,0.945,15.87,0.0577,true,0.8152,2026-02-02T06:00:00Z
MKT-447,0.9041,0.908,16.52,0.0966,true,1.4232,2026-02-02T07:30:00Z
MKT-448,0.8977,0.902,16.63,0.1029,true,1.5268,2026-02-02T09:00:00Z
MKT-449,0.8829,0.887,16.91,0.1186,true,1.7922,2026-02-02T10:30:00Z
